criticality_rank,nearest_pharmacy_id,n_grid_squares,population_served,mean_dist_to_1st_km,mean_dist_to_2nd_km,mean_extra_distance_km,max_extra_distance_km,person_km_impact,namn,kommun,lan,lat,long
188,423,109,11005,2.668236667393328,7.321163951080848,4.6529272836875215,7.753189404217498,51205.46475698117,"Apoteksgruppen Vaxholm, Hamngatan",Vaxholms kommun,Stockholms,59.402601265240065,18.352600405354632
189,671,167,4636,5.955389525508951,16.973227349433678,11.017837823924726,19.118302224929145,51078.69615171503,Kronans Apotek Klintehamn,Gotlands kommun,Gotlands,57.3862233925292,18.20043152958488
190,527,159,6670,4.938200658259603,12.527937685906702,7.589737027647098,9.301822399432062,50623.545974406145,Apoteket Rönnen,Hudiksvalls kommun,Gävleborgs,61.644997817848555,17.075204853624875
191,51,180,6259,5.659135425162246,13.700330397978457,8.04119497281621,11.869135564817123,50329.83933485667,Apotek Hjärtat Bjästa,Örnsköldsviks kommun,Västernorrlands,63.201097248386674,18.502003341016582
192,507,130,16025,3.2451485418475294,6.3841485166318295,3.1389999747842996,4.86158589500266,50302.4745959184,Apoteket Orren,Lerums kommun,Västra Götalands,57.808104044266315,12.361367990487514
193,727,201,7311,4.447693947537861,11.322011668296419,6.874317720758557,13.204577408250358,50258.13685646581,Kronans Apotek Henån,Orusts kommun,Västra Götalands,58.23510013679585,11.678705959043874
194,118,168,3902,6.688440030936702,19.528913608200778,12.840473577264076,17.269174158443235,50103.527898484426,Apotek Hjärtat Vårdcentralen Lit,Östersunds kommun,Jämtlands,63.319467215389324,14.849276023765944
195,556,225,7384,6.030119682516533,12.80829850332942,6.7781788208128875,14.678499537522145,50050.072412882364,"Apoteksgruppen Borrby, Köpmangatan",Simrishamns kommun,Skåne,55.45797129276136,14.17945314255634
196,469,258,17144,4.129783271889463,7.027455902854731,2.897672630965268,4.434353346549927,49677.69958526856,Apoteket Nyponet,Jönköpings kommun,Jönköpings,57.70418119566891,14.117356896284226
197,803,226,8111,5.7781520714606165,11.88526250536351,6.107110433902894,13.935936077491515,49534.77272938637,Kronans Apotek Sätila Vårdcentral,Marks kommun,Västra Götalands,57.54299891246958,12.432796089317046
198,183,234,3734,8.55331068529467,21.818989898038424,13.26567921274375,21.239433379434928,49534.046180385165,Apotek Hjärtat Sundbrolund Ullånger,Kramfors kommun,Västernorrlands,63.01430405566536,18.184592832664343
199,194,148,6368,2.589180028651648,10.336689942062886,7.747509913411239,10.571198166412698,49336.14312860277,Apotek Hjärtat Vinslöv,Hässleholms kommun,Skåne,56.10369790345719,13.915406032047358
200,737,257,6530,6.583472374851935,14.129635643381746,7.546163268529811,13.87194317179972,49276.44614349966,Kronans Apotek Ingelstad Vårdcentral,Växjö kommun,Kronobergs,56.743797564343325,14.921507019609626
201,192,393,6106,8.92335283695133,16.95201333733595,8.028660500384616,16.115298520716323,49023.00101534847,Apotek Hjärtat Vikbolandet Östra Husby,Norrköpings kommun,Östergötlands,58.575403890269286,16.565496366898884
202,107,241,4099,5.180028536305835,17.068058159415468,11.888029623109633,18.76479134273136,48729.033425126385,Apotek Hjärtat Lammhult,Växjö kommun,Kronobergs,57.169498590174335,14.583206618496584
203,60,290,5514,5.749906953341348,14.58466936303788,8.834762409696532,16.339523420670357,48714.87992706668,Apotek Hjärtat Vårdcentralen Brålanda,Vänersborgs kommun,Västra Götalands,58.561303434608,12.359606637201534
204,578,120,15854,3.341575874296559,6.413431188344217,3.0718553140476583,4.84763533362689,48701.19414891158,Apoteket Svanen,Eskilstuna kommun,Södermanlands,59.420617682408135,16.474843409447583
205,713,128,10491,4.1157891693505535,8.75551687521525,4.639727705864696,8.677143392696493,48675.38336222653,Kronans Apotek Förslöv Vårdcentral,Båstads kommun,Skåne,56.34940186431022,12.81849664192351
206,156,303,9490,6.159156526919287,11.286774816423549,5.1276182895042615,7.140191542149868,48661.09756739544,Apotek Hjärtat Vårdcentralen Rödeby,Karlskrona kommun,Blekinge,56.26139893266712,15.616394253251277
207,427,104,11379,2.302130603722859,6.551611033357823,4.249480429634963,5.657244194169526,48354.83780881625,Apoteket Lärkan,Habo kommun,Jönköpings,57.90911427283226,14.090567266732677
208,811,142,6627,2.354499293799934,9.634303882962685,7.279804589162752,9.875002866828963,48243.265012381555,Kronans Apotek Tyringe,Hässleholms kommun,Skåne,56.1588010364181,13.600294531704046
209,558,187,6806,3.8248379652740176,10.860719441401821,7.035881476127804,10.716683677834114,47886.20932652583,Apoteket Storken,Kristianstads kommun,Skåne,55.9345982077441,13.971856925721314
210,715,137,5806,5.308721971214387,13.554710365379133,8.245988394164748,10.12191740761061,47876.208616520526,Kronans Apotek Grycksbo Vårdcentral,Falu kommun,Dalarnas,60.68639675417766,15.493904248823508
211,642,225,11134,5.131246943508737,9.379897378475658,4.248650434966921,6.449992796748614,47304.47394292169,Kronans Apotek Dalsjöfors,Borås kommun,Västra Götalands,57.71422347022854,13.092444079495973
212,115,266,9246,4.719084447593849,9.83419744446074,5.115112996866891,7.829550686380578,47294.33476903127,Apotek Hjärtat Vårdcentralen Linghem,Linköpings kommun,Östergötlands,58.42699990381214,15.782698251951798
213,258,70,10309,1.7608496444029704,6.34460246570703,4.583752821304059,5.653463369674161,47253.90783482354,Apoteket Ekorren,Jönköpings kommun,Jönköpings,57.86197227474311,14.126273321464753
214,774,216,5827,4.1218930465266,12.182357718381889,8.06046467185529,13.85845578229178,46968.32764290077,Kronans Apotek Nossebro Vårdcentral,Essunga kommun,Västra Götalands,58.19137068523828,12.72611711242382
